IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.86.200,2087,4-4白嫖,TRUE,白嫖197,Asia Pacific,Singapore,270,104.23
8.219.247.53,2087,4-4白嫖,TRUE,白嫖198,Asia Pacific,Singapore,271,105.23
47.236.144.196,2053,4-4白嫖,TRUE,白嫖199,Asia Pacific,Singapore,272,106.23
8.222.136.196,2053,4-4白嫖,TRUE,白嫖200,Asia Pacific,Singapore,273,107.23
8.219.178.225,2096,4-4白嫖,TRUE,白嫖201,Asia Pacific,Singapore,274,108.23
47.236.88.134,2096,4-4白嫖,TRUE,白嫖202,Asia Pacific,Singapore,275,109.23
47.236.193.5,2083,4-4白嫖,TRUE,白嫖203,Asia Pacific,Singapore,276,110.23
47.236.164.215,8443,4-4白嫖,TRUE,白嫖204,Asia Pacific,Singapore,277,111.23
47.245.57.109,2087,4-4白嫖,TRUE,白嫖205,Asia Pacific,Singapore,278,112.23
47.236.144.48,2096,4-4白嫖,TRUE,白嫖206,Asia Pacific,Singapore,279,113.23
47.236.201.98,2096,4-4白嫖,TRUE,白嫖207,Asia Pacific,Singapore,280,114.23
47.236.96.141,2087,4-4白嫖,TRUE,白嫖208,Asia Pacific,Singapore,281,115.23
8.222.212.116,2083,4-4白嫖,TRUE,白嫖209,Asia Pacific,Singapore,282,116.23
8.219.178.225,8443,4-4白嫖,TRUE,白嫖210,Asia Pacific,Singapore,283,117.23
47.236.119.253,8443,4-4白嫖,TRUE,白嫖211,Asia Pacific,Singapore,284,118.23
47.236.189.173,2096,4-4白嫖,TRUE,白嫖212,Asia Pacific,Singapore,285,119.23
8.222.134.170,2087,4-4白嫖,TRUE,白嫖213,Asia Pacific,Singapore,286,120.23
8.219.114.201,2053,4-4白嫖,TRUE,白嫖214,Asia Pacific,Singapore,287,121.23
8.219.147.58,2087,4-4白嫖,TRUE,白嫖215,Asia Pacific,Singapore,288,122.23
8.219.151.193,2053,4-4白嫖,TRUE,白嫖216,Asia Pacific,Singapore,289,123.23
8.219.206.180,2083,4-4白嫖,TRUE,白嫖217,Asia Pacific,Singapore,290,124.23
47.236.83.239,2053,4-4白嫖,TRUE,白嫖218,Asia Pacific,Singapore,291,125.23
47.236.148.174,2096,4-4白嫖,TRUE,白嫖219,Asia Pacific,Singapore,292,126.23
8.222.152.71,2096,4-4白嫖,TRUE,白嫖220,Asia Pacific,Singapore,293,127.23
8.219.129.38,2087,4-4白嫖,TRUE,白嫖221,Asia Pacific,Singapore,294,128.23
8.219.167.113,2083,4-4白嫖,TRUE,白嫖222,Asia Pacific,Singapore,295,129.23
47.236.166.184,2053,4-4白嫖,TRUE,白嫖223,Asia Pacific,Singapore,296,130.23
47.236.148.174,2083,4-4白嫖,TRUE,白嫖224,Asia Pacific,Singapore,297,131.23
47.236.5.223,2053,4-4白嫖,TRUE,白嫖225,Asia Pacific,Singapore,298,132.23
8.222.154.50,2096,4-4白嫖,TRUE,白嫖226,Asia Pacific,Singapore,299,133.23
47.236.97.111,2087,4-4白嫖,TRUE,白嫖227,Asia Pacific,Singapore,300,134.23
47.236.7.206,8443,4-4白嫖,TRUE,白嫖228,Asia Pacific,Singapore,301,135.23
47.91.2.165,8443,4-4白嫖,TRUE,白嫖229,Asia Pacific,Singapore,302,136.23
47.236.125.62,2096,4-4白嫖,TRUE,白嫖230,Asia Pacific,Singapore,303,137.23
8.209.255.195,2083,4-4白嫖,TRUE,白嫖231,Asia Pacific,Singapore,304,138.23
47.76.180.109,443,4-4白嫖,TRUE,白嫖232,Asia Pacific,Singapore,305,139.23
