IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.79.87,2096,,TRUE,SIN027,Asia Pacific,Singapore,48,10
47.236.106.37,2083,,TRUE,SIN028,Asia Pacific,Singapore,67,10
47.236.163.221,8443,,TRUE,SIN029,Asia Pacific,Singapore,84,10
47.236.87.206,2087,,TRUE,SIN030,Asia Pacific,Singapore,112,10
8.222.187.107,2083,,TRUE,SIN031,Asia Pacific,Singapore,208,10
47.236.103.153,2053,,TRUE,SIN032,Asia Pacific,Singapore,76,10
47.236.71.226,2083,,TRUE,SIN033,Asia Pacific,Singapore,113,10
8.222.240.47,8443,,TRUE,SIN034,Asia Pacific,Singapore,174,10
47.236.79.87,2083,,TRUE,SIN035,Asia Pacific,Singapore,101,10
47.236.168.17,2087,,TRUE,SIN036,Asia Pacific,Singapore,91,10
8.222.154.227,2083,,TRUE,SIN037,Asia Pacific,Singapore,125,10
47.236.121.7,443,,TRUE,SIN038,Asia Pacific,Singapore,79,10
47.236.103.153,2096,,TRUE,SIN039,Asia Pacific,Singapore,42,10
47.236.145.180,2087,,TRUE,SIN040,Asia Pacific,Singapore,132,10
8.222.136.247,2087,,TRUE,SIN041,Asia Pacific,Singapore,118,10
8.219.60.130,2083,,TRUE,SIN042,Asia Pacific,Singapore,112,10
8.222.147.203,2083,,TRUE,SIN043,Asia Pacific,Singapore,60,10
8.222.237.131,2087,,TRUE,SIN044,Asia Pacific,Singapore,156,10
8.222.174.108,2053,,TRUE,SIN045,Asia Pacific,Singapore,130,10
8.222.227.191,2087,,TRUE,SIN046,Asia Pacific,Singapore,101,10
47.236.19.51,2096,,TRUE,SIN047,Asia Pacific,Singapore,62,10
8.222.162.45,2087,,TRUE,SIN048,Asia Pacific,Singapore,117,10
8.222.147.203,2087,,TRUE,SIN049,Asia Pacific,Singapore,99,10
47.236.96.141,2096,,TRUE,SIN050,Asia Pacific,Singapore,38,10
47.236.123.133,2087,,TRUE,SIN051,Asia Pacific,Singapore,70,10
47.236.97.90,8443,,TRUE,SIN052,Asia Pacific,Singapore,61,10
47.236.144.196,2053,,TRUE,SIN053,Asia Pacific,Singapore,90,10
47.236.165.25,8443,,TRUE,SIN054,Asia Pacific,Singapore,149,10
47.236.11.84,8443,,TRUE,SIN055,Asia Pacific,Singapore,88,10
47.236.121.23,2096,,TRUE,SIN056,Asia Pacific,Singapore,90,10
47.236.93.176,2083,,TRUE,SIN057,Asia Pacific,Singapore,141,10
8.222.144.50,8443,,TRUE,SIN058,Asia Pacific,Singapore,90,10
47.236.180.51,2083,,TRUE,SIN059,Asia Pacific,Singapore,199,10
47.236.5.223,8443,,TRUE,SIN060,Asia Pacific,Singapore,89,10
8.222.240.47,2083,,TRUE,SIN061,Asia Pacific,Singapore,89,10
47.236.172.95,2053,,TRUE,SIN062,Asia Pacific,Singapore,149,10
47.236.10.100,2096,,TRUE,SIN063,Asia Pacific,Singapore,99,10
47.236.163.221,2083,,TRUE,SIN064,Asia Pacific,Singapore,62,10
47.236.163.95,2053,,TRUE,SIN065,Asia Pacific,Singapore,67,10
47.236.106.37,2096,,TRUE,SIN066,Asia Pacific,Singapore,91,10
47.236.121.7,8443,,TRUE,SIN067,Asia Pacific,Singapore,69,10
47.236.171.20,2083,,TRUE,SIN068,Asia Pacific,Singapore,157,10
47.236.29.235,2087,,TRUE,SIN069,Asia Pacific,Singapore,104,10
47.236.166.131,2053,,TRUE,SIN070,Asia Pacific,Singapore,151,10
47.236.174.206,2053,,TRUE,SIN071,Asia Pacific,Singapore,5,10
47.236.123.218,2083,,TRUE,SIN072,Asia Pacific,Singapore,124,10
47.236.163.95,8443,,TRUE,SIN073,Asia Pacific,Singapore,89,10
47.236.119.253,8443,,TRUE,SIN074,Asia Pacific,Singapore,107,10
47.236.123.218,2053,,TRUE,SIN075,Asia Pacific,Singapore,23,10
8.222.219.252,2087,,TRUE,SIN076,Asia Pacific,Singapore,115,10
8.222.237.131,2096,,TRUE,SIN077,Asia Pacific,Singapore,74,10
47.236.97.254,2053,,TRUE,SIN078,Asia Pacific,Singapore,1019,10
47.236.97.111,2096,,TRUE,SIN079,Asia Pacific,Singapore,113,10
47.236.114.23,2053,,TRUE,SIN080,Asia Pacific,Singapore,99,10
47.236.145.85,2083,,TRUE,SIN081,Asia Pacific,Singapore,83,10
8.222.164.44,2053,,TRUE,SIN082,Asia Pacific,Singapore,35,10
47.236.145.85,2053,,TRUE,SIN083,Asia Pacific,Singapore,136,10
8.222.240.47,2096,,TRUE,SIN084,Asia Pacific,Singapore,71,10
47.236.79.77,2053,,TRUE,SIN085,Asia Pacific,Singapore,92,10
47.236.87.206,443,,TRUE,SIN086,Asia Pacific,Singapore,83,10
47.236.144.208,2087,,TRUE,SIN087,Asia Pacific,Singapore,99,10
8.222.249.190,2083,,TRUE,SIN088,Asia Pacific,Singapore,132,10
8.222.237.131,2083,,TRUE,SIN089,Asia Pacific,Singapore,89,10
8.222.133.247,2087,,TRUE,SIN090,Asia Pacific,Singapore,85,10
8.219.60.130,2087,,TRUE,SIN091,Asia Pacific,Singapore,128,10
47.236.99.131,2083,,TRUE,SIN092,Asia Pacific,Singapore,105,10
47.236.7.246,2096,,TRUE,SIN093,Asia Pacific,Singapore,13,10
47.236.94.113,2087,,TRUE,SIN094,Asia Pacific,Singapore,132,10
47.236.165.25,2053,,TRUE,SIN095,Asia Pacific,Singapore,120,10
47.236.76.199,8443,,TRUE,SIN096,Asia Pacific,Singapore,105,10
47.236.166.184,2096,,TRUE,SIN097,Asia Pacific,Singapore,59,10
8.222.167.147,8443,,TRUE,SIN098,Asia Pacific,Singapore,100,10
47.236.65.177,2083,,TRUE,SIN099,Asia Pacific,Singapore,115,10
47.236.171.205,2087,,TRUE,SIN100,Asia Pacific,Singapore,128,10
47.236.121.7,2053,,TRUE,SIN101,Asia Pacific,Singapore,103,10
47.236.144.208,8443,,TRUE,SIN102,Asia Pacific,Singapore,63,10
47.236.7.206,8443,,TRUE,SIN103,Asia Pacific,Singapore,85,10
47.236.163.221,2087,,TRUE,SIN104,Asia Pacific,Singapore,77,10
47.236.11.68,2053,,TRUE,SIN105,Asia Pacific,Singapore,58,10
8.222.248.188,2087,,TRUE,SIN106,Asia Pacific,Singapore,150,10
8.222.137.166,2096,,TRUE,SIN107,Asia Pacific,Singapore,5,10
47.236.114.23,2096,,TRUE,SIN108,Asia Pacific,Singapore,116,10
